[871326]: 5207ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxPropertyBagImpl::SetStringValue: this=0x0000024A1F96BB88; name='INTENT-region'; value='westeurope'
[871326]: 5207ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3153 [0000024A1F96BAA0]CSpxAudioStreamSession::StartAudioPump: Starting pump[0000024A1F79F130]...
[871326]: 5207ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxBufferData' as '705421989'
[871326]: 5207ms SPX_TRACE_VERBOSE:  buffer_data.cpp:118 [0000024A3CF096A0]CSpxBufferData::EnsureInitRingBuffer - Init
[871326]: 5207ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
[871326]: 5207ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1F96BB88; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[871326]: 5207ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1F96BB88; name='AudioConfig_SampleRateForCapture'; value='16000'
[871326]: 5207ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1F96BB88; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[871326]: 5207ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxAudioProcessorWriteToAudioSourceBuffer' as '354155511'
[871326]: 5207ms SPX_DBG_TRACE_SCOPE_ENTER:  microphone_pump_base.cpp:113 MicrophonePumpBase::StartPump() ...
[871326]: 5207ms SPX_DBG_TRACE_VERBOSE:  microphone_pump_base.cpp:125 CSpxMicrophonePumpBase::StartPump starting audio input
[40947]: 5207ms SPX_DBG_TRACE_SCOPE_ENTER:  microphone_pump_base.cpp:179 MicrophonePumpBase::UpdateState() ...
[40947]: 5207ms SPX_DBG_TRACE_VERBOSE:  microphone_pump_base.cpp:183 CSpxMicrophonePumpBase::UpdateState: UpdateState with state as 0.
[40947]: 5207ms SPX_DBG_TRACE_SCOPE_EXIT:  microphone_pump_base.cpp:179 MicrophonePumpBase::UpdateState ... Done!
[871326]: 5212ms SPX_DBG_TRACE_VERBOSE:  microphone_pump_base.cpp:128 CSpxMicrophonePumpBase::StartPump audio input started!
[871326]: 5212ms SPX_DBG_TRACE_SCOPE_EXIT:  microphone_pump_base.cpp:113 MicrophonePumpBase::StartPump ... Done!
[871326]: 5212ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3083 CSpxAudioStreamSession::StartAudioPump
[871326]: 5212ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1172 CSpxAudioStreamSession::StartRecognizing
[871326]: 5212ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:463 [0000024A1F96BAA0]CSpxAudioStreamSession::SetFormat: format != nullptr
[871326]: 5212ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3471 [0000024A1F96BAA0]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 4/1 => 4/2
[704360]: 5212ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1115 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD stopped ***
[871326]: 5212ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:468 [0000024A1F96BAA0]CSpxAudioStreamSession::SetFormat: Now ProcessingAudio ...
[871326]: 5212ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3284 CSpxAudioStreamSession::InformAdapterSetFormatStarting
[871326]: 5212ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxUspRecoEngineAdapterRetry' as '806006714'
[871326]: 5212ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter_retry.cpp:19 CSpxUspRecoEngineAdapterRetry::InitDelegatePtr
[601446]: 5212ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x0000024A3CF03EC0
[871326]: 5212ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter
[601446]: 5212ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=CSpxAsyncOp<void>, h=0x0000024A3CF03EC0, p=0x0000024A3CF03EC0, tot=0
[871326]: 5212ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:50 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter: this=0x0000024A1CC724C0
[871326]: 5212ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter
[871326]: 5212ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxUspRecoEngineAdapter' as '806006714'
[871326]: 5212ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:63 CSpxUspRecoEngineAdapter::Init
[871326]: 5212ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:64 CSpxUspRecoEngineAdapter::Init: this=0x0000024A1CC724C0
[871326]: 5212ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='CARBON-INTERNAL-DumpAudioToDir'; value=''
[871326]: 5212ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:63 CSpxUspRecoEngineAdapter::Init
[871326]: 5212ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter_retry.cpp:19 CSpxUspRecoEngineAdapterRetry::InitDelegatePtr
[871326]: 5212ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:115 CSpxUspRecoEngineAdapter::SetAdapterMode: singleShot=0
[871326]: 5212ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:219 CSpxUspRecoEngineAdapter::SetFormat
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:220 CSpxUspRecoEngineAdapter::SetFormat: this=0x0000024A1CC724C0
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:231 CSpxUspRecoEngineAdapter::SetFormat
  wFormatTag:      PCM
  nChannels:       1
  nSamplesPerSec:  16000
  nAvgBytesPerSec: 32000
  nBlockAlign:     2
  wBitsPerSample:  16
  cbSize:          0
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:2758 CSpxUspRecoEngineAdapter::TryChangeState; audioState/uspState: 0/0 => 1/0 USP-START
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:253 CSpxUspRecoEngineAdapter::SetFormat: (0x0000024A1CC724C0)->PrepareFirstAudioReadyState()
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:2925 CSpxUspRecoEngineAdapter::ResetBeforeFirstAudio: this=0x0000024A1CC724C0 ... USP-RESET
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:2774 CSpxUspRecoEngineAdapter::PrepareCompressionCodec: Prepare compression codec.
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='SPEECH-Compression-Codec-Module'; value=''
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:2836 CSpxUspRecoEngineAdapter::PrepareFirstAudioReadyState: (0x0000024A1CC724C0)->PrepareCompressionCodec() result:        4. Sending the audio uncompressed
